variation,accuracy,accuracy_female,accuracy_male,ROC,ROC_female,ROC_male
0.00,0.6538461538461539,0.5961538461538461,0.7115384615384616,0.7551775147928994,0.6523668639053254,0.8476331360946746
0.00,0.5961538461538461,0.5769230769230769,0.6153846153846154,0.6357248520710059,0.5562130177514792,0.7307692307692308
0.00,0.6153846153846154,0.5384615384615384,0.6923076923076923,0.7200443786982249,0.6642011834319527,0.7766272189349113
0.00,0.6538461538461539,0.5576923076923077,0.75,0.757396449704142,0.6997041420118343,0.8165680473372781
0.00,0.6634615384615384,0.6346153846153846,0.6923076923076923,0.757396449704142,0.75,0.7588757396449705
0.25,0.6730769230769231,0.6346153846153846,0.7115384615384616,0.7599852071005917,0.7322485207100591,0.7973372781065088
0.25,0.6730769230769231,0.6346153846153846,0.7115384615384616,0.735207100591716,0.6878698224852071,0.7928994082840237
0.25,0.6730769230769231,0.6153846153846154,0.7307692307692307,0.731508875739645,0.6494082840236687,0.8002958579881656
0.25,0.6923076923076923,0.6730769230769231,0.7115384615384616,0.8006656804733728,0.7662721893491125,0.8328402366863905
0.25,0.6634615384615384,0.6730769230769231,0.6538461538461539,0.7773668639053254,0.757396449704142,0.8032544378698224
0.50,0.625,0.6730769230769231,0.5769230769230769,0.7030325443786982,0.7218934911242604,0.6834319526627218
0.50,0.6826923076923077,0.6538461538461539,0.7115384615384616,0.7555473372781065,0.7366863905325445,0.7825443786982248
0.50,0.6923076923076923,0.6538461538461539,0.7307692307692307,0.7274408284023669,0.7026627218934912,0.742603550295858
0.50,0.5961538461538461,0.5576923076923077,0.6346153846153846,0.6906434911242604,0.6553254437869822,0.7152366863905326
0.50,0.7307692307692307,0.7115384615384616,0.75,0.7925295857988166,0.7588757396449705,0.8284023668639053
0.75,0.5673076923076923,0.5576923076923077,0.5769230769230769,0.6090976331360947,0.5857988165680472,0.6405325443786982
0.75,0.7019230769230769,0.7115384615384616,0.6923076923076923,0.7414940828402368,0.7307692307692308,0.7588757396449705
0.75,0.6826923076923077,0.6538461538461539,0.7115384615384616,0.6283284023668638,0.5428994082840237,0.7085798816568047
0.75,0.6538461538461539,0.6153846153846154,0.6923076923076923,0.6948964497041419,0.6479289940828402,0.7381656804733728
0.75,0.6634615384615384,0.6538461538461539,0.6730769230769231,0.7448224852071006,0.7692307692307693,0.7300295857988166
1.00,0.6634615384615384,0.6538461538461539,0.6730769230769231,0.7494452662721893,0.7943786982248521,0.7056213017751479
1.00,0.5865384615384616,0.5961538461538461,0.5769230769230769,0.7296597633136095,0.7130177514792899,0.7596153846153846
1.00,0.7211538461538461,0.7307692307692307,0.7115384615384616,0.7496301775147929,0.7810650887573964,0.7026627218934912
1.00,0.625,0.6538461538461539,0.5961538461538461,0.7067307692307693,0.7603550295857988,0.6582840236686391
1.00,0.6442307692307693,0.6346153846153846,0.6538461538461539,0.6801035502958579,0.6109467455621301,0.7470414201183432
0.00,0.7019230769230769,0.6730769230769231,0.7307692307692307,0.7237426035502958,0.7292899408284024,0.7204142011834319
0.00,0.6826923076923077,0.6153846153846154,0.75,0.7884615384615384,0.797337278106509,0.779585798816568
0.00,0.625,0.6538461538461539,0.5961538461538461,0.7008136094674556,0.7041420118343196,0.7056213017751479
0.00,0.6730769230769231,0.6346153846153846,0.7115384615384616,0.7429733727810651,0.7159763313609467,0.7810650887573964
0.00,0.6923076923076923,0.6730769230769231,0.7115384615384616,0.6919378698224852,0.727810650887574,0.6568047337278107
0.25,0.6826923076923077,0.6346153846153846,0.7307692307692307,0.7505547337278107,0.6967455621301776,0.7973372781065089
0.25,0.6538461538461539,0.6538461538461539,0.6538461538461539,0.7030325443786982,0.7159763313609467,0.6923076923076923
0.25,0.6442307692307693,0.6538461538461539,0.6346153846153846,0.7792159763313609,0.7662721893491125,0.8017751479289941
0.25,0.7211538461538461,0.6923076923076923,0.75,0.7692307692307692,0.7766272189349113,0.7603550295857988
0.25,0.5961538461538461,0.5576923076923077,0.6346153846153846,0.6667899408284024,0.5976331360946746,0.7292899408284024
0.50,0.7211538461538461,0.7884615384615384,0.6538461538461539,0.783284023668639,0.8653846153846154,0.6952662721893491
0.50,0.7211538461538461,0.75,0.6923076923076923,0.7720044378698225,0.7943786982248521,0.7603550295857988
0.50,0.7115384615384616,0.7115384615384616,0.7115384615384616,0.7740384615384615,0.764792899408284,0.7869822485207101
0.50,0.6923076923076923,0.6538461538461539,0.7307692307692307,0.7751479289940829,0.7292899408284024,0.8136094674556212
0.50,0.6346153846153846,0.5769230769230769,0.6923076923076923,0.6079881656804734,0.5340236686390533,0.6908284023668639
0.75,0.7596153846153846,0.7692307692307693,0.75,0.8332100591715975,0.8476331360946746,0.8239644970414202
0.75,0.5961538461538461,0.5961538461538461,0.5961538461538461,0.6889792899408284,0.7085798816568047,0.6671597633136095
0.75,0.6442307692307693,0.6346153846153846,0.6538461538461539,0.713387573964497,0.7455621301775147,0.680473372781065
0.75,0.6923076923076923,0.6538461538461539,0.7307692307692307,0.7766272189349113,0.6900887573964497,0.8713017751479291
0.75,0.625,0.5961538461538461,0.6538461538461539,0.6819526627218935,0.6242603550295858,0.7292899408284024
1.00,0.6826923076923077,0.6730769230769231,0.6923076923076923,0.8243343195266272,0.8136094674556213,0.8328402366863905
1.00,0.6442307692307693,0.6153846153846154,0.6730769230769231,0.6900887573964496,0.6494082840236687,0.7337278106508877
1.00,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.8139792899408284,0.8017751479289942,0.8313609467455622
1.00,0.7307692307692307,0.7115384615384616,0.75,0.8025147928994083,0.7840236686390532,0.834319526627219
1.00,0.7307692307692307,0.6923076923076923,0.7692307692307693,0.8217455621301775,0.7795857988165681,0.8698224852071006
